YEAR,Date,PREC,RH2M,T2M,T2M_MAX,T2M_MIN,WD10M,WS10M
1981,JAN,0.07,54.44,22.83,36.65,11.07,26.75,3.12
1981,FEB,0.02,35.38,26.01,39.29,13.62,358.69,3.16
1981,MAR,0.06,43.31,28.29,41.37,17.87,334.75,3.26
1981,APR,0.09,50.44,30.48,44.95,19.8,308.94,3.15
1981,MAY,0.42,60.94,30.84,39.69,24.11,280,3.87
1981,JUN,15.8,79.19,28.8,36.8,24.61,254.94,4.53
1981,JUL,25.04,90.06,26.45,29.15,24.37,244.38,6.09
1981,AUG,16.88,90.44,25.73,29.03,22.64,249.56,5.48
1981,SEP,14.46,88.5,26.22,33.05,22.9,274.56,2.88
1981,OCT,2.5,79.88,25.9,32.75,19.12,59.25,2.74
1981,NOV,0.26,71.56,22.82,31.81,13.6,72.44,3.16
1981,DEC,0.05,67.06,23.04,31.94,11.94,79.62,2.86
1982,JAN,0.05,61.31,23.12,33.01,14.92,356.38,2.69
1982,FEB,0.02,49.75,24.57,37.7,14.66,333.38,2.96
1982,MAR,0,44.44,27.3,43.93,14.57,323.81,3.16
1982,APR,0.04,55.5,29.47,41.61,21.13,291.75,3
1982,MAY,0.8,58.62,30.59,40.51,23.98,279,3.16
1982,JUN,12.34,76.06,28.87,36.72,24.2,253.44,4.91
1982,JUL,25.26,88.44,26.69,31.33,23.38,243.81,5.47
1982,AUG,15.4,90.81,25.58,28.8,23.06,245.81,5.32
1982,SEP,8.77,85.94,25.56,30.55,21.59,262.69,2.79
1982,OCT,0.65,77.81,27.01,33.66,21.21,50.88,2.08
1982,NOV,1.92,77.19,24.68,32.59,17.23,93.44,2.9
1982,DEC,0,63.94,23.65,32.61,13.07,74.06,2.83
1983,JAN,0,48.94,22.37,34.16,12.23,23.5,3.05
1983,FEB,0,50.06,22.85,36.04,11.99,331.56,3.07
1983,MAR,0,50,26.43,41.33,15.8,315.06,3.17
1983,APR,0.13,56.44,28.62,41.69,19,298.38,3.41
1983,MAY,0.02,60.94,30.76,45.53,23.6,283.12,3.99
1983,JUN,8.63,72.81,29.41,38.11,25.01,250.25,4.88
1983,JUL,13.08,87.31,27.16,31.93,24.39,244.06,5.61
1983,AUG,25.94,91.31,26.15,29.55,23.44,253.19,4.78
1983,SEP,19.3,90.5,25.9,29.7,23.19,253.31,2.97
1983,OCT,1.38,82.56,24.98,31.4,17.69,2.12,3.24
1983,NOV,0.01,67.75,22.58,31.12,13.69,72.19,3.13
1983,DEC,0.01,60.62,22.69,32.56,9.13,58.25,3.02
1984,JAN,0,50.62,21.8,33.6,11.26,0,2.82
1984,FEB,0.53,37.5,24.83,38.8,11.94,26.81,3.87
1984,MAR,0.01,36,29.76,42.87,18.58,346.19,3.48
1984,APR,0.06,52.75,30.91,43.36,21.44,289.94,3.15
1984,MAY,0,59.31,31.2,41.49,22.95,286.12,4.07
1984,JUN,14.91,77.88,28.41,38.82,24.72,233.06,6.05
1984,JUL,24.36,89.69,25.98,29.65,23.83,248.06,5
1984,AUG,5.95,89.94,25.32,28.56,23.03,240.19,5.49
1984,SEP,11.66,87.12,25.3,33.18,20.4,267.94,3.3
1984,OCT,2.44,79.25,25.66,33.4,18.55,3.69,2.43
1984,NOV,0.01,63.19,23.53,32.41,14.3,68.75,3.01
1984,DEC,0,50.19,23.35,34.59,12.92,48.81,3.04
1985,JAN,0,44.69,23.51,35.75,12.72,5.56,2.95
1985,FEB,0,33.94,25.23,40.98,14.37,352.75,3.23
1985,MAR,0,42.12,29.61,43.53,18.21,331.31,2.93
1985,APR,0.13,53.94,29.93,44.87,21.27,300.94,3.33
1985,MAY,1.09,64.38,30.11,39.8,23.85,256.06,3.83
1985,JUN,19.58,81.19,27.98,34.61,24.76,255.88,4.87
1985,JUL,14.8,88.5,25.99,29.44,23.57,245.06,5.46
1985,AUG,11.92,90.19,25.37,28.64,22.31,247.75,4.58
1985,SEP,4.17,85.88,25.62,32.05,22.09,262.62,2.63
1985,OCT,5.74,75.94,25.06,33.9,16.26,27.75,3.04
